District_clean,State_clean,fiscal_year,penta1,penta2,penta3,penta1_private,penta1_urban
LOHIT,ARUNACHAL PRADESH,2017-2018,1215.0,1072.0,1072.0,0.0,108.0
LOHIT,ARUNACHAL PRADESH,2018-2019,829.0,829.0,772.0,0.0,0.0
LOHIT,ARUNACHAL PRADESH,2019-2020,984.0,937.0,937.0,0.0,0.0
LONGDING,ARUNACHAL PRADESH,2017-2018,854.0,815.0,687.0,0.0,0.0
LONGDING,ARUNACHAL PRADESH,2018-2019,908.0,908.0,796.0,0.0,0.0
LONGDING,ARUNACHAL PRADESH,2019-2020,989.0,780.0,780.0,0.0,0.0
LONGLENG,NAGALAND,2017-2018,524.0,524.0,524.0,0.0,0.0
LONGLENG,NAGALAND,2018-2019,559.0,559.0,505.0,0.0,0.0
LONGLENG,NAGALAND,2019-2020,580.0,556.0,556.0,0.0,0.0
LOWER DIBANG VALLEY,ARUNACHAL PRADESH,2017-2018,900.0,829.0,829.0,0.0,0.0
LOWER DIBANG VALLEY,ARUNACHAL PRADESH,2018-2019,882.0,850.0,850.0,0.0,0.0
LOWER DIBANG VALLEY,ARUNACHAL PRADESH,2019-2020,933.0,850.0,833.0,0.0,0.0
LOWER SUBANSIRI,ARUNACHAL PRADESH,2017-2018,750.0,745.0,730.0,0.0,0.0
LOWER SUBANSIRI,ARUNACHAL PRADESH,2018-2019,802.0,802.0,790.0,0.0,0.0
LOWER SUBANSIRI,ARUNACHAL PRADESH,2019-2020,730.0,730.0,730.0,0.0,0.0
LUCKNOW,UTTAR PRADESH,2017-2018,122734.0,120071.0,120071.0,0.0,64656.0
LUCKNOW,UTTAR PRADESH,2018-2019,103456.0,100135.0,98336.0,361.0,49772.0
LUCKNOW,UTTAR PRADESH,2019-2020,119344.0,114497.0,114266.0,42.0,62739.0
LUDHIANA,PUNJAB,2017-2018,59007.0,58161.0,58000.0,1179.0,25876.0
LUDHIANA,PUNJAB,2018-2019,57551.0,55781.0,54918.0,450.0,26931.0
LUDHIANA,PUNJAB,2019-2020,56503.0,54924.0,53802.0,35.0,26058.0
LUNGLEI,MIZORAM,2017-2018,2237.0,2237.0,2162.0,0.0,807.0
LUNGLEI,MIZORAM,2018-2019,2291.0,2230.0,2230.0,15.0,805.0
LUNGLEI,MIZORAM,2019-2020,2538.0,2511.0,2486.0,0.0,819.0
MADHEPURA,BIHAR,2017-2018,62144.0,60389.0,57807.0,0.0,4552.0
MADHEPURA,BIHAR,2018-2019,57242.0,53730.0,49091.0,0.0,4279.0
MADHEPURA,BIHAR,2019-2020,66432.0,66432.0,62012.0,0.0,5713.0
MADHUBANI,BIHAR,2017-2018,110157.0,107728.0,102788.0,0.0,5588.0
MADHUBANI,BIHAR,2018-2019,99013.0,93012.0,86402.0,0.0,6103.0
MADHUBANI,BIHAR,2019-2020,115991.0,115991.0,107818.0,0.0,6234.0
MADURAI,TAMIL NADU,2017-2018,46412.0,46212.0,46212.0,4890.0,24760.0
MADURAI,TAMIL NADU,2018-2019,48150.0,47827.0,47437.0,5288.0,26585.0
MADURAI,TAMIL NADU,2019-2020,45464.0,45464.0,45417.0,2456.0,24462.0
MAHABUBABAD,TELANGANA,2017-2018,12796.0,11467.0,11467.0,0.0,1537.0
MAHABUBABAD,TELANGANA,2018-2019,12792.0,12120.0,12120.0,0.0,1470.0
MAHABUBABAD,TELANGANA,2019-2020,12033.0,12033.0,12033.0,0.0,1252.0
MAHARAJGANJ,UTTAR PRADESH,2017-2018,63709.0,62373.0,62362.0,0.0,581.0
MAHARAJGANJ,UTTAR PRADESH,2018-2019,62046.0,58886.0,58205.0,0.0,614.0
MAHARAJGANJ,UTTAR PRADESH,2019-2020,66679.0,66383.0,66383.0,0.0,766.0
MAHASAMUND,CHHATTISGARH,2017-2018,17626.0,17406.0,17037.0,0.0,62.0
MAHASAMUND,CHHATTISGARH,2018-2019,18114.0,17775.0,17415.0,0.0,557.0
MAHASAMUND,CHHATTISGARH,2019-2020,18179.0,18024.0,18022.0,0.0,570.0
MAHBUBNAGAR,TELANGANA,2017-2018,27947.0,27307.0,27307.0,0.0,4061.0
MAHBUBNAGAR,TELANGANA,2018-2019,27735.0,27123.0,27123.0,0.0,2955.0
MAHBUBNAGAR,TELANGANA,2019-2020,27541.0,26778.0,26778.0,0.0,2396.0
MAHE,PUDUCHERRY,2017-2018,732.0,714.0,690.0,137.0,478.0
MAHE,PUDUCHERRY,2018-2019,675.0,607.0,607.0,107.0,453.0
MAHE,PUDUCHERRY,2019-2020,693.0,643.0,603.0,101.0,475.0
MAHENDRAGARH,HARYANA,2017-2018,15559.0,14990.0,14829.0,0.0,2107.0
MAHENDRAGARH,HARYANA,2018-2019,15410.0,14692.0,14490.0,0.0,199.0
MAHENDRAGARH,HARYANA,2019-2020,14775.0,14532.0,14356.0,0.0,172.0
MAHESANA,GUJARAT,2017-2018,36172.0,35592.0,35592.0,0.0,7288.0
MAHESANA,GUJARAT,2018-2019,32857.0,32169.0,32169.0,0.0,6622.0
MAHESANA,GUJARAT,2019-2020,34037.0,33883.0,33883.0,968.0,7381.0
MAHISAGAR,GUJARAT,2017-2018,19880.0,19880.0,19880.0,0.0,1607.0
MAHISAGAR,GUJARAT,2018-2019,20447.0,20252.0,20252.0,0.0,2107.0
MAHISAGAR,GUJARAT,2019-2020,20275.0,20275.0,20275.0,0.0,1984.0
MAHOBA,UTTAR PRADESH,2017-2018,19348.0,19043.0,18855.0,0.0,599.0
MAHOBA,UTTAR PRADESH,2018-2019,18940.0,18437.0,18264.0,0.0,565.0
MAHOBA,UTTAR PRADESH,2019-2020,20163.0,19503.0,19503.0,0.0,977.0
MAINPURI,UTTAR PRADESH,2017-2018,51307.0,48644.0,48644.0,40.0,1958.0
MAINPURI,UTTAR PRADESH,2018-2019,54480.0,53358.0,52677.0,0.0,1689.0
MAINPURI,UTTAR PRADESH,2019-2020,54734.0,54681.0,54221.0,86.0,1949.0
MALAPPURAM,KERALA,2017-2018,92896.0,87429.0,81676.0,6311.0,7657.0
MALAPPURAM,KERALA,2018-2019,95417.0,86472.0,83055.0,9672.0,7738.0
MALAPPURAM,KERALA,2019-2020,88870.0,85154.0,81837.0,5525.0,6758.0
MALDAH,WEST BENGAL,2017-2018,94196.0,92188.0,91572.0,0.0,1520.0
MALDAH,WEST BENGAL,2018-2019,95638.0,93325.0,91352.0,0.0,1780.0
MALDAH,WEST BENGAL,2019-2020,100308.0,99367.0,99367.0,0.0,1838.0
MALKANGIRI,ODISHA,2017-2018,12759.0,12391.0,12192.0,0.0,0.0
MALKANGIRI,ODISHA,2018-2019,13669.0,13465.0,13288.0,0.0,0.0
MALKANGIRI,ODISHA,2019-2020,12276.0,12227.0,12075.0,0.0,0.0
MAMIT,MIZORAM,2017-2018,1646.0,1562.0,1431.0,0.0,0.0
MAMIT,MIZORAM,2018-2019,1561.0,1523.0,1445.0,0.0,0.0
MAMIT,MIZORAM,2019-2020,1746.0,1669.0,1570.0,0.0,0.0
MANCHERIAL,TELANGANA,2017-2018,11929.0,11634.0,11634.0,0.0,3138.0
MANCHERIAL,TELANGANA,2018-2019,11184.0,10933.0,10933.0,0.0,2563.0
MANCHERIAL,TELANGANA,2019-2020,11992.0,11401.0,11401.0,0.0,3068.0
MANDI,HIMACHAL PRADESH,2017-2018,13865.0,13655.0,13655.0,65.0,0.0
MANDI,HIMACHAL PRADESH,2018-2019,13993.0,13796.0,13796.0,105.0,0.0
MANDI,HIMACHAL PRADESH,2019-2020,13363.0,13142.0,13142.0,48.0,0.0
MANDLA,MADHYA PRADESH,2017-2018,17986.0,17358.0,17358.0,572.0,1021.0
MANDLA,MADHYA PRADESH,2018-2019,19272.0,18863.0,18863.0,323.0,916.0
MANDLA,MADHYA PRADESH,2019-2020,20815.0,20804.0,20804.0,135.0,1543.0
MANDSAUR,MADHYA PRADESH,2017-2018,24419.0,23491.0,23246.0,0.0,1385.0
MANDSAUR,MADHYA PRADESH,2018-2019,26019.0,25257.0,24849.0,0.0,1354.0
MANDSAUR,MADHYA PRADESH,2019-2020,25713.0,25073.0,25073.0,0.0,1475.0
MANDYA,KARNATAKA,2017-2018,21810.0,20855.0,20855.0,335.0,1099.0
MANDYA,KARNATAKA,2018-2019,20643.0,20609.0,20247.0,365.0,976.0
MANDYA,KARNATAKA,2019-2020,19867.0,19738.0,19738.0,217.0,909.0
MANSA,PUNJAB,2017-2018,10778.0,10344.0,10285.0,0.0,580.0
MANSA,PUNJAB,2018-2019,10567.0,9966.0,9926.0,0.0,537.0
MANSA,PUNJAB,2019-2020,10420.0,9731.0,9557.0,0.0,621.0
MARIGAON,ASSAM,2017-2018,21674.0,21429.0,20783.0,0.0,0.0
MARIGAON,ASSAM,2018-2019,21155.0,20836.0,20468.0,18.0,0.0
MARIGAON,ASSAM,2019-2020,20548.0,20109.0,19735.0,23.0,0.0
MATHURA,UTTAR PRADESH,2017-2018,58600.0,58493.0,57831.0,0.0,7190.0
MATHURA,UTTAR PRADESH,2018-2019,67022.0,64338.0,64338.0,0.0,8484.0
MATHURA,UTTAR PRADESH,2019-2020,68019.0,68019.0,68019.0,0.0,9479.0
MAUNATHBHANJAN,UTTAR PRADESH,2017-2018,60606.0,60535.0,60535.0,0.0,5289.0
MAUNATHBHANJAN,UTTAR PRADESH,2018-2019,61067.0,59187.0,59187.0,0.0,2810.0
MAUNATHBHANJAN,UTTAR PRADESH,2019-2020,61692.0,60070.0,60070.0,0.0,5769.0
MAYURBHANJ,ODISHA,2017-2018,41022.0,40769.0,40461.0,0.0,28.0
MAYURBHANJ,ODISHA,2018-2019,39812.0,39235.0,39235.0,0.0,421.0
MAYURBHANJ,ODISHA,2019-2020,40597.0,40444.0,40397.0,0.0,542.0
MEDAK,TELANGANA,2017-2018,11774.0,11774.0,11774.0,0.0,959.0
MEDAK,TELANGANA,2018-2019,13542.0,13366.0,13366.0,0.0,1634.0
MEDAK,TELANGANA,2019-2020,13241.0,12723.0,12723.0,0.0,1003.0
MEDCHAL MALKAJGIRI,TELANGANA,2017-2018,54311.0,54311.0,54311.0,0.0,35837.0
MEDCHAL MALKAJGIRI,TELANGANA,2018-2019,57121.0,57121.0,57121.0,0.0,39540.0
MEDCHAL MALKAJGIRI,TELANGANA,2019-2020,61857.0,61746.0,61746.0,0.0,42151.0
MEERUT,UTTAR PRADESH,2017-2018,70056.0,64996.0,63394.0,583.0,19395.0
MEERUT,UTTAR PRADESH,2018-2019,85133.0,81732.0,80943.0,2483.0,37166.0
MEERUT,UTTAR PRADESH,2019-2020,84646.0,80742.0,80742.0,1393.0,35520.0
MEWAT,HARYANA,2017-2018,27369.0,22799.0,19018.0,0.0,131.0
MEWAT,HARYANA,2018-2019,30010.0,24322.0,20652.0,0.0,0.0
MEWAT,HARYANA,2019-2020,41417.0,37431.0,32731.0,0.0,0.0
MIRZAPUR,UTTAR PRADESH,2017-2018,62566.0,61322.0,61322.0,0.0,3392.0
MIRZAPUR,UTTAR PRADESH,2018-2019,70369.0,68814.0,68814.0,0.0,3015.0
MIRZAPUR,UTTAR PRADESH,2019-2020,70485.0,67997.0,67997.0,0.0,3842.0
MOGA,PUNJAB,2017-2018,14149.0,13464.0,13283.0,1113.0,1710.0
MOGA,PUNJAB,2018-2019,14686.0,14101.0,13892.0,974.0,2428.0
MOGA,PUNJAB,2019-2020,14452.0,14112.0,13965.0,918.0,2287.0
MOHALI SAS NAGAR,PUNJAB,2017-2018,17080.0,16851.0,16742.0,71.0,4862.0
MOHALI SAS NAGAR,PUNJAB,2018-2019,18900.0,17904.0,17715.0,121.0,5494.0
MOHALI SAS NAGAR,PUNJAB,2019-2020,19270.0,18307.0,17993.0,85.0,5378.0
MOKOKCHUNG,NAGALAND,2017-2018,1083.0,983.0,952.0,16.0,49.0
MOKOKCHUNG,NAGALAND,2018-2019,1237.0,1197.0,1160.0,9.0,99.0
MOKOKCHUNG,NAGALAND,2019-2020,1176.0,1150.0,1076.0,9.0,90.0
MON,NAGALAND,2017-2018,2820.0,2682.0,2611.0,0.0,0.0
MON,NAGALAND,2018-2019,2929.0,2601.0,2427.0,0.0,0.0
MON,NAGALAND,2019-2020,3057.0,3025.0,2818.0,0.0,0.0
MORADABAD,UTTAR PRADESH,2017-2018,77108.0,73591.0,73152.0,0.0,16146.0
MORADABAD,UTTAR PRADESH,2018-2019,71167.0,64672.0,64672.0,129.0,17220.0
MORADABAD,UTTAR PRADESH,2019-2020,87518.0,87518.0,87518.0,0.0,25500.0
MORBI,GUJARAT,2017-2018,23183.0,21872.0,21872.0,1100.0,5087.0
MORBI,GUJARAT,2018-2019,22744.0,22091.0,22091.0,827.0,4695.0
MORBI,GUJARAT,2019-2020,21535.0,20155.0,20155.0,663.0,5074.0
MORENA,MADHYA PRADESH,2017-2018,41009.0,38789.0,37747.0,0.0,4379.0
MORENA,MADHYA PRADESH,2018-2019,44476.0,41240.0,39836.0,0.0,4974.0
MORENA,MADHYA PRADESH,2019-2020,44189.0,42946.0,42430.0,0.0,5252.0
MUKTSAR,PUNJAB,2017-2018,12204.0,11896.0,11896.0,86.0,1739.0
MUKTSAR,PUNJAB,2018-2019,12765.0,12252.0,12252.0,46.0,1817.0
MUKTSAR,PUNJAB,2019-2020,12518.0,11934.0,11923.0,59.0,2162.0
MUNGELI,CHHATTISGARH,2017-2018,19527.0,19275.0,19275.0,110.0,578.0
MUNGELI,CHHATTISGARH,2018-2019,20272.0,20124.0,20124.0,0.0,845.0
MUNGELI,CHHATTISGARH,2019-2020,21496.0,21428.0,21428.0,0.0,843.0
MUNGER,BIHAR,2017-2018,28736.0,27806.0,26099.0,0.0,6767.0
MUNGER,BIHAR,2018-2019,28705.0,27121.0,25612.0,0.0,6678.0
MUNGER,BIHAR,2019-2020,30048.0,29974.0,29376.0,0.0,7242.0
MURSHIDABAD,WEST BENGAL,2017-2018,153895.0,150760.0,149340.0,0.0,7714.0
MURSHIDABAD,WEST BENGAL,2018-2019,156476.0,153230.0,152193.0,0.0,7647.0
MURSHIDABAD,WEST BENGAL,2019-2020,161762.0,160106.0,159551.0,0.0,8603.0
MUZAFFARNAGAR,UTTAR PRADESH,2017-2018,62118.0,60668.0,60668.0,0.0,6853.0
MUZAFFARNAGAR,UTTAR PRADESH,2018-2019,70091.0,65912.0,65912.0,0.0,8295.0
MUZAFFARNAGAR,UTTAR PRADESH,2019-2020,72300.0,68890.0,68890.0,0.0,11617.0
MUZAFFARPUR,BIHAR,2017-2018,106182.0,103940.0,98732.0,4208.0,6157.0
MUZAFFARPUR,BIHAR,2018-2019,112425.0,107763.0,101758.0,6958.0,6164.0
MUZAFFARPUR,BIHAR,2019-2020,120177.0,120177.0,120177.0,8180.0,7197.0
MYSORE,KARNATAKA,2017-2018,42110.0,41093.0,41093.0,2704.0,13636.0
MYSORE,KARNATAKA,2018-2019,41664.0,40867.0,40867.0,1945.0,13819.0
MYSORE,KARNATAKA,2019-2020,40492.0,38903.0,38903.0,2037.0,13887.0
NABARANGAPUR,ODISHA,2017-2018,26658.0,25805.0,24908.0,0.0,0.0
NABARANGAPUR,ODISHA,2018-2019,28524.0,28005.0,27726.0,0.0,0.0
NABARANGAPUR,ODISHA,2019-2020,27309.0,26676.0,26676.0,0.0,0.0
NADIA,WEST BENGAL,2017-2018,73617.0,72769.0,72359.0,0.0,6463.0
NADIA,WEST BENGAL,2018-2019,75527.0,72826.0,72624.0,0.0,6770.0
NADIA,WEST BENGAL,2019-2020,73841.0,72894.0,72743.0,0.0,6513.0
NAGAON,ASSAM,2017-2018,60956.0,60015.0,59262.0,666.0,879.0
NAGAON,ASSAM,2018-2019,58204.0,57318.0,57150.0,849.0,1563.0
NAGAON,ASSAM,2019-2020,59059.0,58070.0,57594.0,1031.0,1988.0
NAGAPATTINAM,TAMIL NADU,2017-2018,19218.0,19218.0,19218.0,1212.0,3087.0
NAGAPATTINAM,TAMIL NADU,2018-2019,19210.0,19166.0,19077.0,1283.0,3020.0
NAGAPATTINAM,TAMIL NADU,2019-2020,21072.0,21072.0,21072.0,1036.0,2794.0
NAGARKURNOOL,TELANGANA,2017-2018,14495.0,14119.0,14119.0,0.0,0.0
NAGARKURNOOL,TELANGANA,2018-2019,15188.0,14566.0,14566.0,0.0,0.0
NAGARKURNOOL,TELANGANA,2019-2020,14236.0,13571.0,13571.0,0.0,0.0
NAGAUR,RAJASTHAN,2017-2018,68085.0,66201.0,65856.0,0.0,9842.0
NAGAUR,RAJASTHAN,2018-2019,65210.0,63446.0,62631.0,0.0,9265.0
NAGAUR,RAJASTHAN,2019-2020,62116.0,60463.0,60041.0,0.0,8416.0
NAGPUR,MAHARASHTRA,2017-2018,68870.0,68792.0,68492.0,8746.0,25378.0
NAGPUR,MAHARASHTRA,2018-2019,69962.0,69956.0,69881.0,11156.0,24155.0
NAGPUR,MAHARASHTRA,2019-2020,69320.0,68674.0,68674.0,10415.0,26927.0
NAINITAL,UTTARAKHAND,2017-2018,14949.0,14375.0,14073.0,0.0,4470.0
NAINITAL,UTTARAKHAND,2018-2019,15906.0,15062.0,15062.0,564.0,4028.0
NAINITAL,UTTARAKHAND,2019-2020,16652.0,15615.0,15615.0,648.0,5066.0
NALANDA,BIHAR,2017-2018,72649.0,70329.0,67755.0,0.0,10488.0
NALANDA,BIHAR,2018-2019,70702.0,69274.0,66488.0,0.0,9845.0
NALANDA,BIHAR,2019-2020,76155.0,76155.0,75009.0,0.0,11039.0
NALBARI,ASSAM,2017-2018,14448.0,14121.0,13722.0,1904.0,0.0
NALBARI,ASSAM,2018-2019,14167.0,13684.0,13392.0,1791.0,0.0
NALBARI,ASSAM,2019-2020,14078.0,13727.0,13339.0,1575.0,0.0
NALGONDA,TELANGANA,2017-2018,23930.0,23930.0,23930.0,0.0,4179.0
NALGONDA,TELANGANA,2018-2019,22656.0,22534.0,22534.0,0.0,3580.0
NALGONDA,TELANGANA,2019-2020,23134.0,23056.0,23056.0,0.0,3946.0
NAMAKKAL,TAMIL NADU,2017-2018,18347.0,18347.0,18189.0,1989.0,4663.0
NAMAKKAL,TAMIL NADU,2018-2019,18776.0,18670.0,18670.0,1694.0,4897.0
NAMAKKAL,TAMIL NADU,2019-2020,18786.0,18553.0,18553.0,1499.0,4530.0
NAMSAI,ARUNACHAL PRADESH,2017-2018,1355.0,1210.0,1075.0,0.0,0.0
NAMSAI,ARUNACHAL PRADESH,2018-2019,2041.0,1978.0,1978.0,0.0,0.0
NAMSAI,ARUNACHAL PRADESH,2019-2020,2254.0,2232.0,2082.0,0.0,0.0
NANDED,MAHARASHTRA,2017-2018,64024.0,62928.0,62395.0,0.0,7489.0
NANDED,MAHARASHTRA,2018-2019,60502.0,60438.0,60001.0,20.0,8486.0
NANDED,MAHARASHTRA,2019-2020,60697.0,58986.0,58986.0,0.0,8920.0
NANDURBAR,MAHARASHTRA,2017-2018,34467.0,33875.0,33116.0,0.0,2655.0
NANDURBAR,MAHARASHTRA,2018-2019,34419.0,33993.0,32606.0,15.0,5149.0
NANDURBAR,MAHARASHTRA,2019-2020,37638.0,37198.0,32314.0,549.0,5988.0
NARAYANPUR,CHHATTISGARH,2017-2018,3084.0,3055.0,2884.0,0.0,0.0
NARAYANPUR,CHHATTISGARH,2018-2019,3098.0,3054.0,3052.0,0.0,0.0
NARAYANPUR,CHHATTISGARH,2019-2020,3564.0,3480.0,3427.0,0.0,0.0
NARMADA,GUJARAT,2017-2018,9819.0,9600.0,9434.0,0.0,329.0
NARMADA,GUJARAT,2018-2019,8655.0,8500.0,8408.0,0.0,186.0
NARMADA,GUJARAT,2019-2020,8867.0,8744.0,8630.0,0.0,183.0
NARSINGHPUR,MADHYA PRADESH,2017-2018,19207.0,18698.0,18698.0,0.0,1458.0
NARSINGHPUR,MADHYA PRADESH,2018-2019,19907.0,19562.0,19444.0,0.0,1562.0
NARSINGHPUR,MADHYA PRADESH,2019-2020,20021.0,19811.0,19811.0,0.0,1706.0
NASHIK,MAHARASHTRA,2017-2018,124718.0,121189.0,121189.0,2954.0,44253.0
NASHIK,MAHARASHTRA,2018-2019,124996.0,121022.0,121022.0,4106.0,40485.0
NASHIK,MAHARASHTRA,2019-2020,126028.0,121435.0,120889.0,784.0,45437.0
NAVSARI,GUJARAT,2017-2018,18554.0,18120.0,18046.0,294.0,4446.0
NAVSARI,GUJARAT,2018-2019,17150.0,16709.0,16512.0,259.0,4074.0
NAVSARI,GUJARAT,2019-2020,16268.0,16031.0,16031.0,261.0,3534.0
NAWADA,BIHAR,2017-2018,57796.0,57506.0,54978.0,0.0,6297.0
NAWADA,BIHAR,2018-2019,58023.0,58019.0,56055.0,0.0,6651.0
NAWADA,BIHAR,2019-2020,60219.0,60219.0,56041.0,0.0,6914.0
NAWANSHAHR,PUNJAB,2017-2018,8051.0,8021.0,8021.0,0.0,1027.0
NAWANSHAHR,PUNJAB,2018-2019,8049.0,8000.0,8000.0,0.0,862.0
NAWANSHAHR,PUNJAB,2019-2020,7655.0,7573.0,7573.0,0.0,884.0
NAYAGARH,ODISHA,2017-2018,14137.0,13822.0,13793.0,0.0,0.0
NAYAGARH,ODISHA,2018-2019,13692.0,13594.0,13594.0,0.0,0.0
NAYAGARH,ODISHA,2019-2020,13596.0,13548.0,13548.0,0.0,0.0
NEEMUCH,MADHYA PRADESH,2017-2018,13690.0,13690.0,13690.0,0.0,806.0
NEEMUCH,MADHYA PRADESH,2018-2019,15111.0,14595.0,14455.0,0.0,833.0
NEEMUCH,MADHYA PRADESH,2019-2020,15094.0,14461.0,14461.0,0.0,499.0
NELLORE,ANDHRA PRADESH,2017-2018,39421.0,39211.0,39211.0,762.0,4696.0
NELLORE,ANDHRA PRADESH,2018-2019,45899.0,45659.0,45659.0,345.0,9181.0
NELLORE,ANDHRA PRADESH,2019-2020,44862.0,44805.0,44805.0,340.0,8259.0
NEW DELHI,DELHI,2017-2018,17879.0,15915.0,15584.0,224.0,11038.0
NEW DELHI,DELHI,2018-2019,18618.0,15314.0,15013.0,362.0,11015.0
NEW DELHI,DELHI,2019-2020,17796.0,14765.0,14765.0,378.0,10416.0
NICOBAR,A & N ISLANDS,2017-2018,474.0,474.0,474.0,0.0,0.0
NICOBAR,A & N ISLANDS,2018-2019,409.0,409.0,409.0,0.0,0.0
NICOBAR,A & N ISLANDS,2019-2020,414.0,378.0,378.0,0.0,0.0
NILGIRIS,TAMIL NADU,2017-2018,6955.0,6955.0,6955.0,411.0,1809.0
NILGIRIS,TAMIL NADU,2018-2019,7078.0,7078.0,7078.0,340.0,1813.0
NILGIRIS,TAMIL NADU,2019-2020,7219.0,7059.0,7059.0,344.0,1793.0
NIRMAL,TELANGANA,2017-2018,10284.0,10284.0,10284.0,0.0,1111.0
NIRMAL,TELANGANA,2018-2019,11089.0,11008.0,11008.0,0.0,1640.0
NIRMAL,TELANGANA,2019-2020,11965.0,11965.0,11965.0,0.0,2764.0
NIZAMABAD,TELANGANA,2017-2018,27170.0,26066.0,26066.0,0.0,6708.0
NIZAMABAD,TELANGANA,2018-2019,30040.0,28110.0,28110.0,0.0,7715.0
NIZAMABAD,TELANGANA,2019-2020,28073.0,27200.0,27153.0,0.0,7681.0
NORTH,DELHI,2017-2018,28059.0,28059.0,28059.0,341.0,25235.0
NORTH,DELHI,2018-2019,28696.0,27711.0,26971.0,177.0,25448.0
NORTH,DELHI,2019-2020,28327.0,28327.0,27801.0,69.0,25287.0
NORTH,SIKKIM,2017-2018,477.0,477.0,477.0,0.0,0.0
NORTH,SIKKIM,2018-2019,585.0,562.0,552.0,0.0,0.0
NORTH,SIKKIM,2019-2020,548.0,548.0,548.0,0.0,0.0
NORTH AND MIDDLE ANDAMAN,A & N ISLANDS,2017-2018,1185.0,1152.0,1149.0,0.0,0.0
NORTH AND MIDDLE ANDAMAN,A & N ISLANDS,2018-2019,1106.0,1106.0,1106.0,0.0,0.0
NORTH AND MIDDLE ANDAMAN,A & N ISLANDS,2019-2020,1000.0,1000.0,968.0,0.0,0.0
NORTH EAST,DELHI,2017-2018,28961.0,28961.0,28961.0,151.0,27900.0
NORTH EAST,DELHI,2018-2019,29294.0,28411.0,26628.0,82.0,28424.0
NORTH EAST,DELHI,2019-2020,29043.0,29043.0,28893.0,108.0,28170.0
NORTH GARO HILLS,MEGHALAYA,2017-2018,4305.0,4245.0,3950.0,0.0,0.0
NORTH GARO HILLS,MEGHALAYA,2018-2019,3913.0,3806.0,3278.0,0.0,0.0
NORTH GARO HILLS,MEGHALAYA,2019-2020,4548.0,4389.0,4005.0,0.0,0.0
NORTH GOA,GOA,2017-2018,8558.0,8558.0,8558.0,665.0,1412.0
NORTH GOA,GOA,2018-2019,8548.0,8548.0,8548.0,606.0,1397.0
NORTH GOA,GOA,2019-2020,8425.0,8425.0,8425.0,749.0,1356.0
NORTH TRIPURA,TRIPURA,2017-2018,7253.0,6431.0,5740.0,0.0,0.0
NORTH TRIPURA,TRIPURA,2018-2019,7371.0,6552.0,6031.0,0.0,0.0
NORTH TRIPURA,TRIPURA,2019-2020,7439.0,7193.0,7066.0,0.0,0.0
NORTH TWENTY FOUR PARGANAS,WEST BENGAL,2017-2018,122163.0,121233.0,121191.0,1093.0,36532.0
NORTH TWENTY FOUR PARGANAS,WEST BENGAL,2018-2019,126195.0,123871.0,123871.0,976.0,39036.0
NORTH TWENTY FOUR PARGANAS,WEST BENGAL,2019-2020,124606.0,123335.0,123335.0,739.0,37382.0
NORTH WEST,DELHI,2017-2018,37963.0,37280.0,36911.0,952.0,26215.0
NORTH WEST,DELHI,2018-2019,39673.0,37786.0,36581.0,774.0,28250.0
NORTH WEST,DELHI,2019-2020,38318.0,37521.0,36924.0,668.0,27160.0
NUAPADA,ODISHA,2017-2018,12747.0,12238.0,11967.0,0.0,0.0
NUAPADA,ODISHA,2018-2019,12944.0,12698.0,12534.0,0.0,0.0
NUAPADA,ODISHA,2019-2020,11831.0,11814.0,11768.0,0.0,0.0
OSMANABAD,MAHARASHTRA,2017-2018,30422.0,29101.0,28920.0,890.0,2766.0
OSMANABAD,MAHARASHTRA,2018-2019,29925.0,28906.0,28066.0,630.0,4182.0
OSMANABAD,MAHARASHTRA,2019-2020,30237.0,28442.0,28442.0,749.0,4770.0
PAKUR,JHARKHAND,2017-2018,27000.0,26030.0,25691.0,0.0,848.0
PAKUR,JHARKHAND,2018-2019,26071.0,25100.0,23920.0,0.0,808.0
PAKUR,JHARKHAND,2019-2020,26372.0,26037.0,25000.0,0.0,508.0
PALAKKAD,KERALA,2017-2018,42981.0,41840.0,40058.0,4773.0,2212.0
PALAKKAD,KERALA,2018-2019,42395.0,42347.0,41053.0,4906.0,2625.0
PALAKKAD,KERALA,2019-2020,42492.0,40486.0,40337.0,5860.0,3416.0
PALAMU,JHARKHAND,2017-2018,47030.0,45854.0,44953.0,672.0,1213.0
PALAMU,JHARKHAND,2018-2019,45695.0,43508.0,42245.0,821.0,1002.0
PALAMU,JHARKHAND,2019-2020,47702.0,46086.0,46086.0,1275.0,1179.0
PALGHAR,MAHARASHTRA,2017-2018,59605.0,59120.0,58099.0,2231.0,23167.0
PALGHAR,MAHARASHTRA,2018-2019,57595.0,57595.0,57595.0,1917.0,22416.0
PALGHAR,MAHARASHTRA,2019-2020,61841.0,61841.0,61480.0,2351.0,25020.0
PALI,RAJASTHAN,2017-2018,45074.0,43502.0,43243.0,242.0,591.0
PALI,RAJASTHAN,2018-2019,42658.0,40853.0,39747.0,0.0,1654.0
PALI,RAJASTHAN,2019-2020,42065.0,40587.0,39609.0,0.0,2259.0
PALWAL,HARYANA,2017-2018,28576.0,26299.0,24956.0,169.0,3829.0
PALWAL,HARYANA,2018-2019,26715.0,23278.0,21780.0,150.0,2856.0
PALWAL,HARYANA,2019-2020,29273.0,28905.0,28905.0,62.0,3582.0
